pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
119	1946-05-22	119	no	DI vernacolo e di latino (intervento Canevascini	 p1)	 trattenimento musico-letterario a Mendrisio sulla musica italiana '800 (p3)	 commemorazione del poeta Bertacchi alla casa d'Italia di Lugano (p3)
120	1946-05-23	120	no	morte del pianista svizzero Emilio Frey (2)	i sovietici sgomberano totalmente l'Iran (p1)		
121	1946-05-24	121	si	trattenimento musico-letterario (musica vocale IT '800) a Mendrisio (3)			
122	1946-05-25	122	no	"conferenza Setti sui poeti maggiori a Biasca (2); numero speciale di ""Sibemol"" dedicato alle donne (2), esposizione stampe italiane (p3)"			
123	1946-05-27	123	no	Francesco Flora sul poeta Giovanni Bertacchi a Lugano (4)	 morte di Guggenheim (4)		
124	1946-05-28	124	no	commomorazione Bertacchi (3)	 opere entrate recentemente nella biblio cantonale (4)	Vittoria comunista in Cecoslovacchia (1)	
125	1946-05-29	125	no	commemorazione Bertacchi (3)			
126	1946-05-31	126	si	Bertacchi commemorato alla casa d'Italia (3)			
127	1946-06-01	127	no		"""L'Europa sceglie"" (p1, pre elezioni IT e FR)"		
128	1946-06-03	128	no		congresso  dei neri USA  VS oppressione (p1)		
129	1946-06-04	129	no	Bernard Shaw e Montgomery (1)	 premio di scultura a Luigi Brogini (3)	Risultati elezioni FR (vittoria repubblicani	 p1)
130	1946-06-05	130	no		risultati elezioni IT (DC e sx	 p1)	
131	1946-06-06	131	no		"elezioni in IT, approfondimento e primo commento (1); ""necessità d'intesa fra Oriente e Occidente"" (1)"		
132	1946-06-07	132	si	"autore Paolo Liggeri a Lugano per presentare ""Triangolo Rosso"" (3)"			
133	1946-06-08	133	no				
134	1946-06-11	134	no		"""Avremo il suffragio femminile?"" (p1); risultati definitivi del referendum IT (p4)"		
135	1946-06-12	135	no	Morte del poeta tedesco Gerhard Haputmann (4)			
136	1946-06-13	136	no				
137	1946-06-14	137	no	Supplemento letterario (rubrica ALS nel prossimo numero	 il 138; p1)		
138	1946-06-15	138	si	restitutzione libri in biblioteca cantonale per la revisione annuale (2)	Moto rivoluzionario scoppia in Bolivia a La Paz (p1)		
